===========================================================================
 BARON version 18.5.8. Built: WIN-64 Tue May 8 15:02:43 EDT 2018 

 BARON is a product of The Optimization Firm, LLC. http://www.minlp.com/

 If you use this software, please cite publications from
 http://www.minlp.com/about-baron, such as: 

 Kilinc, M. and N. V. Sahinidis, Exploiting integrality in the global
 optimization of mixed-integer nonlinear programming problems in BARON,
 Optimization Methods and Software, 33, 540-562, 2018.
===========================================================================
 This BARON run may utilize the following subsolver(s)
 For LP/MIP: ILOG CPLEX                                      
 For NLP: MINOS, GAMS external NLP, IPOPT, FILTERSD, FILTERSQP
===========================================================================
    The options used in solving the problem are as follows:
       maxtime        =  0.1800E+05
       maxiter        =      -1
       numsol         =       1
       firstfeas      =       0
       cutoff         =  0.1000E+52
       epsa           =  0.1000E-08
       epsr           =  0.1000E-01
       deltaterm      =       0
       deltaa         =  0.1000E+52
       deltar         =  0.1000E+01
       deltat         = -0.1000E+03
       boxtol         =  0.1000E-07
       isoltol        =  0.1000E-03
       absconfeastol  =  0.1000E-04
       relconfeastol  =  0.0000E+00
       absintfeastol  =  0.1000E-04
       relintfeastol  =  0.0000E+00
       results        =       1
       summary        =       1
       times          =       1
       prtimefreq     =  0.3000E+02
       prfreq         = 1000000
       prlevel        =       1
       numprint       =      -1
       numprintdual   =      -1
       lpsol          =       3
       nlpsol         =      -1
       allowminos     =       1
       allowsnopt     =       1
       allowexternal  =       1
       allowipopt     =       1
       allowfiltersd  =       1
       allowfiltersqp =       1
       dolocal        =       1
       numloc         =      -2
       locres         =       0
       pdo            =      -2
       brvarstra      =       0
       brptstra       =       0
       nodesel        =       0
       compiis        =       0
       iisint         =       1
       iisorder       =      -1
       threads        =       1
===========================================================================
 Doing local search
 Solving bounding LP
 Starting multi-start local search
 Preprocessing found feasible solution with value  11.4435143180     
 Preprocessing found feasible solution with value  9.96054001273     
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
          1             1             7.49     1.94312          9.96054    
*        16            11            26.60     1.94312          9.80400    
*        16            11            30.08     1.94312          9.80063    
         61+           37            60.73     1.94312          9.80063    
        155            91            90.68     2.24276          9.80063    
        317           175           120.82     2.51251          9.80063    
        546           295           151.45     7.61729          9.80063    
        753+          418           182.21     8.56055          9.80063    
        945+          538           212.24     8.56055          9.80063    
       1174           675           242.25     8.56055          9.80063    
       1392+          743           273.31     8.56055          9.80063    
       1557+          849           303.67     8.56055          9.80063    
       1737+          951           334.26     8.56055          9.80063    
       1926+         1037           365.04     8.56055          9.80063    
       2155          1162           395.07     8.56055          9.80063    
       2393+         1313           426.35     8.56055          9.80063    
       2590          1406           456.38     8.56055          9.80063    
       2786          1490           487.13     8.56055          9.80063    
       2997          1585           517.13     8.56055          9.80063    
       3222          1742           547.13     8.56055          9.80063    
       3431          1857           578.64     8.56055          9.80063    
       3705          1988           608.90     8.56055          9.80063    
       3967          2101           638.90     8.56055          9.80063    
       4208+         2205           669.01     8.56055          9.80063    
       4416          2294           699.20     8.56055          9.80063    
       4678          2429           729.32     8.56055          9.80063    
       4925+         2548           759.37     8.56055          9.80063    
       5186          2665           794.22     8.56055          9.80063    
       5465+         2792           825.10     8.56055          9.80063    
       5720+         2907           858.96     8.56055          9.80063    
       5935+         2992           889.02     8.56055          9.80063    
       6145          3111           921.86     8.56055          9.80063    
       6383+         3201           952.00     8.56055          9.80063    
       6636+         3322           986.39     8.56055          9.80063    
       6884+         3489          1020.93     8.56055          9.80063    
       7129          3654          1050.95     8.56055          9.80063    
       7358          3742          1080.79     8.56055          9.80063    
       7584          3862          1110.87     8.56055          9.80063    
       7721+         3926          1138.60     8.56055          9.80063    
       7965+         4067          1168.60     8.56055          9.80063    
       8202+         4195          1200.15     8.56055          9.80063    
       8459          4288          1228.93     8.56055          9.80063    
       8691          4394          1258.96     8.56055          9.80063    
       8850          4464          1288.74     8.56055          9.80063    
       9103+         4636          1320.61     8.56055          9.80063    
       9343+         4759          1350.63     8.56055          9.80063    
       9594+         4903          1380.78     8.56055          9.80063    
       9862          5008          1410.80     8.56055          9.80063    
      10084          5126          1440.83     8.56055          9.80063    
      10322+         5262          1471.64     8.56055          9.80063    
      10589          5425          1503.54     8.56055          9.80063    
      10895+         5579          1533.57     8.56055          9.80063    
      11167          5708          1563.58     8.56055          9.80063    
      11463          5834          1593.64     8.56055          9.80063    
      11714+         5950          1624.31     8.56055          9.80063    
      11986+         6082          1654.42     8.56055          9.80063    
      12329          6201          1684.92     8.56055          9.80063    
      12613          6339          1714.97     8.56055          9.80063    
      12895          6510          1744.96     8.56055          9.80063    
      13175          6636          1775.00     8.56055          9.80063    
      13442+         6760          1806.99     8.56055          9.80063    
      13744          6900          1837.02     8.56055          9.80063    
      14083          7040          1867.02     8.56055          9.80063    
      14512          7176          1897.07     8.56055          9.80063    
      14782          7296          1927.10     8.56055          9.80063    
      15063+         7434          1958.39     8.56055          9.80063    
      15336+         7569          1991.76     8.56055          9.80063    
      15617          7697          2021.79     8.56055          9.80063    
      15874          7851          2051.79     8.56055          9.80063    
      16179          7997          2081.80     8.56055          9.80063    
      16479+         8176          2116.25     8.56055          9.80063    
      16747+         8298          2146.39     8.56055          9.80063    
      17037          8444          2176.42     8.56055          9.80063    
      17289          8538          2206.45     8.56055          9.80063    
      17560          8665          2236.45     8.56055          9.80063    
      17794+         8787          2268.33     8.56055          9.80063    
      18075+         8899          2298.32     8.56055          9.80063    
      18342          9035          2328.30     8.56055          9.80063    
      18625+         9177          2358.30     8.56055          9.80063    
      18939          9320          2388.36     8.56055          9.80063    
      19320          9467          2418.36     8.56055          9.80063    
      19638          9627          2448.37     8.56055          9.80063    
      19943+         9779          2479.53     8.56055          9.80063    
      20288+         9922          2511.77     8.56055          9.80063    
      20624+        10076          2545.20     8.56055          9.80063    
      20920         10205          2575.47     8.56055          9.80063    
      21231+        10347          2607.28     8.56055          9.80063    
      21610         10507          2637.29     8.56055          9.80063    
      21937         10626          2667.20     8.56055          9.80063    
      22233         10755          2701.02     8.56055          9.80063    
      22597         10868          2731.75     8.56055          9.80063    
      22882+        11005          2764.06     8.56055          9.80063    
      23229         11174          2794.07     8.56055          9.80063    
      23631         11320          2824.10     8.56055          9.80063    
      23919+        11452          2855.77     8.56055          9.80063    
      24225+        11591          2886.30     8.56055          9.80063    
      24544         11744          2916.30     8.56055          9.80063    
      24817+        11857          2947.90     8.56055          9.80063    
      25137+        11978          2977.90     8.56055          9.80063    
      25439         12094          3007.95     8.56055          9.80063    
      25747+        12228          3039.59     8.56055          9.80063    
      26070         12324          3073.38     8.56055          9.80063    
      26343         12464          3104.42     8.56055          9.80063    
      26732         12564          3134.42     8.56055          9.80063    
      27038         12665          3164.48     8.56055          9.80063    
      27315         12768          3194.49     8.56055          9.80063    
      27588         12870          3224.40     8.56055          9.80063    
      27900+        12977          3255.35     8.56055          9.80063    
      28261         13104          3287.72     8.56055          9.80063    
